own_id,categoryCode,parentCategoryCode,categoryTitle,categoryName,count,child_categoryCode,child_parentCategoryCode,child_categoryTitle,child_categoryName,child_count,child_childCategoryList
1,000,,인기,Best,245905,001005,001,맨투맨/스웨트셔츠,맨투맨/스웨트셔츠,40908,
2,000,,인기,Best,245905,001002,001,셔츠/블라우스,셔츠/블라우스,29620,
3,000,,인기,Best,245905,001004,001,후드 티셔츠,후드 티셔츠,27088,
4,000,,인기,Best,245905,003004,003,트레이닝/조거 팬츠,트레이닝/조거 팬츠,27066,
5,000,,인기,Best,245905,007001,007,캡/야구 모자,캡/야구 모자,22284,
6,000,,인기,Best,245905,003002,003,데님 팬츠,데님 팬츠,18372,
7,000,,인기,Best,245905,002020,002,카디건,카디건,14347,
8,000,,인기,Best,245905,004003,004,숄더백,숄더백,10587,
9,000,,인기,Best,245905,003008,003,슈트 팬츠/슬랙스,슈트 팬츠/슬랙스,10043,
10,000,,인기,Best,245905,002006,002,나일론/코치 재킷,나일론/코치 재킷,9995,
11,000,,인기,Best,245905,002003,002,슈트/블레이저 재킷,슈트/블레이저 재킷,7722,
12,000,,인기,Best,245905,004001,004,백팩,백팩,7159,
13,000,,인기,Best,245905,002022,002,후드 집업,후드 집업,6778,
14,000,,인기,Best,245905,018003,018,패션스니커즈화,패션스니커즈화,4795,
15,000,,인기,Best,245905,018002,018,캔버스/단화,캔버스/단화,4044,
16,000,,인기,Best,245905,002002,002,레더/라이더스 재킷,레더/라이더스 재킷,3270,
17,000,,인기,Best,245905,002004,002,스타디움 재킷,스타디움 재킷,1827,
18,001,,상의,Top,256641,001,,전체,Top,256641,
19,001,,상의,Top,256641,001006,001,니트/스웨터,니트/스웨터,32100,
20,001,,상의,Top,256641,001004,001,후드 티셔츠,후드 티셔츠,27089,
21,001,,상의,Top,256641,001005,001,맨투맨/스웨트셔츠,맨투맨/스웨트셔츠,40908,
22,001,,상의,Top,256641,001010,001,긴소매 티셔츠,긴소매 티셔츠,24985,
23,001,,상의,Top,256641,001002,001,셔츠/블라우스,셔츠/블라우스,29619,
24,001,,상의,Top,256641,001003,001,피케/카라 티셔츠,피케/카라 티셔츠,11670,
